Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
01-10-2020,34.9592,,,0,,,60001.18,,0,,,,4,,4.25,3,5.996,158.4,1.278772379,-1.996,2.721,,962.09,34.9592,0,0,,,0.00015873,,,,
05-10-2020,34.9935,0.000981144,0.000980663,0.000981144,,,60001.18,0,0,,,,4,,4.25,3,6.004,158.4,1.278772379,-2.004,2.721,,961.19,34.9935,0,0,,,0.00015873,0.000822414,,0,
06-10-2020,35.0048,0.000322917,0.000322865,0.001304378,,,60001.18,0,0,,,,4,,4.25,3,6.026,158.4,1.278772379,-2.026,2.721,,959.43,35.0048,0,0,,,0.00015873,0.000164187,,0,
07-10-2020,35.0126,0.000222827,0.000222802,0.001527495,,,60001.18,0,0,,,,4,,4.25,3,6.014,158.4,1.278772379,-2.014,2.721,,960.11,35.0126,0,0,,,0.00015873,6.41E-05,,0,
08-10-2020,35.0227,0.000288468,0.000288426,0.001816403,,,60001.18,0,0,,,,4,,4.25,3,6.015,158.4,1.278772379,-2.015,2.721,,959.7,35.0227,0,0,,,0.00015873,0.000129737,,0,
09-10-2020,35.1879,0.004716941,0.004705851,0.006541912,,,60001.18,0,0,,,,4,,4.25,3,5.937,158.4,1.278772379,-1.937,2.721,,965.35,35.1879,0,0,,,0.00015873,0.004558211,,0,
12-10-2020,35.2407,0.001500516,0.001499391,0.008052244,,,60001.18,0,0,1.06,0.65625,0.753,4,,4.25,3,5.899,158.4,1.278772379,-1.899,2.721,,968.45,35.2407,0,0,,,0.00015873,0.001341786,,0,
13-10-2020,35.2824,0.001183291,0.001182591,0.009245063,,,60001.18,0,0,1.03,0.609375,0.751666667,4,,4.25,3,5.904,158.4,1.278772379,-1.904,2.721,,968.32,35.2824,0,0,,,0.00015873,0.001024561,,0,
14-10-2020,35.317,0.000980659,0.000980178,0.010234788,,,60001.18,0,0,1.03,0.609375,0.750666667,4,,4.25,3,5.9,158.4,1.278772379,-1.9,2.721,,968.33,35.317,0,0,,,0.00015873,0.000821929,,0,
15-10-2020,35.3542,0.001053317,0.001052763,0.011298886,,,60001.18,0,0,1.03,0.609375,0.763333333,4,,4.25,3,5.898,158.4,1.278772379,-1.898,2.721,,968.82,35.3542,0,0,,,0.00015873,0.000894587,,0,
16-10-2020,35.3462,-0.000226281,-0.000226307,0.011070047,,,60001.18,0,0,1.03,0.609375,0.749666667,4,,4.25,3,5.935,158.4,1.278772379,-1.935,2.721,,966.55,35.3542,-0.000226281,-0.000226281,,,0.00015873,-0.000385012,,-0.000226281,
19-10-2020,35.3771,0.00087421,0.000873828,0.011953935,,,60001.18,0,0,1.03,0.609375,0.736,4,,4.25,3,5.94,158.4,1.278772379,-1.94,2.721,,965.97,35.3771,0,-0.000226281,,,0.00015873,0.00071548,,0,
20-10-2020,35.4083,0.000881926,0.000881538,0.012846404,,,60001.18,0,0,1.03,0.609375,0.722333333,4,,4.25,3,5.931,158.4,1.278772379,-1.931,2.721,,966.02,35.4083,0,-0.000226281,,,0.00015873,0.000723196,,0,
21-10-2020,35.4259,0.000497059,0.000496935,0.013349848,,,60001.18,0,0,1.03,0.609375,0.722333333,4,,4.25,3,5.912,158.4,1.278772379,-1.912,2.721,,967.26,35.4259,0,-0.000226281,,,0.00015873,0.000338328,,0,
22-10-2020,35.4213,-0.000129849,-0.000129857,0.013218266,,,60001.18,0,0,1.03,0.609375,0.736,4,,4.25,3,5.915,158.4,1.278772379,-1.915,2.721,,967.4,35.4259,-0.000129849,-0.000226281,,,0.00015873,-0.000288579,,-0.000129849,
23-10-2020,35.1879,-0.006589256,-0.006611061,0.006541912,,,60001.18,0,0,1.03,0.609375,0.749666667,4,,4.25,3,5.844,158.4,1.278772379,-1.844,2.721,,971.23,35.4259,-0.006718249,-0.006718249,,,0.00015873,-0.006747986,,-0.006589256,
26-10-2020,35.2409,0.0015062,0.001505066,0.008057965,,,60001.18,0,0,1.03,0.609375,0.751666667,4,,4.25,3,5.834,158.4,1.278772379,-1.834,2.721,,972.99,35.4259,-0.005222168,-0.006718249,,,0.00015873,0.001347469,,0,
27-10-2020,35.2385,-6.81E-05,-6.81E-05,0.007989313,,,60001.18,0,0,1.03,0.609375,0.780333333,4,,4.25,3,5.846,158.4,1.278772379,-1.846,2.721,,972.02,35.4259,-0.005289915,-0.006718249,,,0.00015873,-0.000226833,,-6.81E-05,
28-10-2020,35.259,0.00058175,0.000581581,0.008575711,,,60001.18,0,0,1.03,0.609375,0.780333333,4,,4.25,3,5.859,158.4,1.278772379,-1.859,2.721,,971.49,35.4259,-0.004711242,-0.006718249,,,0.00015873,0.00042302,,0,
29-10-2020,35.2599,2.55E-05,2.55E-05,0.008601455,,,60001.18,0,0,1.03,0.609375,0.780333333,4,,4.25,3,5.881,158.4,1.278772379,-1.881,2.721,,969.87,35.4259,-0.004685837,-0.006718249,,,0.00015873,-0.000133205,,0,
02-11-2020,35.2875,0.000782759,0.000782453,0.009390947,,,60001.18,0,0,,,,4,,4.25,3,5.89,158.9,0.315656566,-1.89,3.684,,969.14,35.4259,-0.003906746,-0.006718249,,,0.00015873,0.000624029,,0,
03-11-2020,35.2846,-8.22E-05,-8.22E-05,0.009307993,,,60001.18,0,0,,,,4,,4.25,3,5.898,158.9,0.315656566,-1.898,3.684,,968.54,35.4259,-0.003988607,-0.006718249,,,0.00015873,-0.000240912,,-8.22E-05,
04-11-2020,35.282,-7.37E-05,-7.37E-05,0.009233621,,,60001.18,0,0,,,,4,,4.25,3,5.886,158.9,0.315656566,-1.886,3.684,,969.57,35.4259,-0.004062,-0.006718249,,,0.00015873,-0.000232417,,-7.37E-05,
05-11-2020,35.3263,0.001255598,0.00125481,0.010500812,,,60001.18,0,0,,,,4,,4.25,3,5.86,158.9,0.315656566,-1.86,3.684,,971.23,35.4259,-0.002811502,-0.006718249,,,0.00015873,0.001096868,,0,
06-11-2020,35.3516,0.00071618,0.000715924,0.011224513,,,60001.18,0,0,,,,4,,4.25,3,5.871,158.9,0.315656566,-1.871,3.684,,971.45,35.4259,-0.002097336,-0.006718249,,,0.00015873,0.00055745,,0,
09-11-2020,35.3572,0.000158409,0.000158396,0.0113847,,,60001.18,0,0,,,,4,,4.25,3,5.876,158.9,0.315656566,-1.876,3.684,,969.83,35.4259,-0.001939259,-0.006718249,,,0.00015873,-3.21E-07,,0,
