Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-10-01,66.644,,,0.0,,,14023.02,,0.0,1.16,,,4.0,,4.25,3.0,5.996,158.4,1.278772378516635,-1.996,2.721,,962.09,66.644,0.0,0.0,,,0.00015873015873015873,,,,
2020-10-05,66.716,0.0010803673248902,0.0010797841481042,0.0010803673248902,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,6.004,158.4,1.278772378516635,-2.004,2.721,,961.19,66.716,0.0,0.0,,,0.00015873015873015873,0.0009216371661600413,,0.0,
2020-10-06,66.6983,-0.0002653036752801,-0.0002653388745259,0.0008147770241881,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,6.026,158.4,1.278772378516635,-2.026,2.721,,959.43,66.716,-0.00026530367528015356,-0.00026530367528015356,,,0.00015873015873015873,-0.00042403383401025873,,-0.0002653036752801,
2020-10-07,66.7268,0.0004272972474559,0.0004272059819844,0.0012424224236238,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,6.014,158.4,1.278772378516635,-2.014,2.721,,960.11,66.7268,0.0,-0.00026530367528015356,,,0.00015873015873015873,0.00026856708872574126,,0.0,
2020-10-08,66.7732,0.0006953727737581,0.0006951311141334,0.001938659144109,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,6.015,158.4,1.278772378516635,-2.015,2.721,,959.7,66.7732,0.0,-0.00026530367528015356,,,0.00015873015873015873,0.0005366426150279413,,0.0,
2020-10-09,67.0215,0.0037185577447238,0.0037116610008792,0.0056644259048075,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.937,158.4,1.278772378516635,-1.937,2.721,,965.35,67.0215,0.0,-0.00026530367528015356,,,0.00015873015873015873,0.0035598275859936414,,0.0,
2020-10-12,67.1126,0.0013592653103853,0.001358342345568,0.0070313906728287,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.899,158.4,1.278772378516635,-1.899,2.721,,968.45,67.1126,0.0,-0.00026530367528015356,,,0.00015873015873015873,0.0012005351516551413,,0.0,
2020-10-13,67.1346,0.0003278072969905,0.0003277535799174,0.0073615029109896,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.904,158.4,1.278772378516635,-1.904,2.721,,968.32,67.1346,0.0,-0.00026530367528015356,,,0.00015873015873015873,0.00016907713826034128,,0.0,
2020-10-14,67.1531,0.0002755658036242,0.0002755278423418,0.0076390972930795,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.9,158.4,1.278772378516635,-1.9,2.721,,968.33,67.1531,0.0,-0.00026530367528015356,,,0.00015873015873015873,0.00011683564489404125,,0.0,
2020-10-15,67.1843,0.0004646099733296,0.0004645020755349,0.0081072564671986,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.898,158.4,1.278772378516635,-1.898,2.721,,968.82,67.1843,0.0,-0.00026530367528015356,,,0.00015873015873015873,0.0003058798145994413,,0.0,
2020-10-16,67.1506,-0.0005016052857587,-0.0005017311317751,0.0076015845387431,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.935,158.4,1.278772378516635,-1.935,2.721,,966.55,67.1843,-0.0005016052857586678,-0.0005016052857586678,,,0.00015873015873015873,-0.0006603354444888588,,-0.0005016052857587,
2020-10-19,67.2119,0.0009128734516148,0.0009124570360493,0.0085213972750735,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.94,158.4,1.278772378516635,-1.94,2.721,,965.97,67.2119,0.0,-0.0005016052857586678,,,0.00015873015873015873,0.0007541432928846413,,0.0,
2020-10-20,67.2373,0.0003779092690432,0.0003778378793207,0.008902526859132,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.931,158.4,1.278772378516635,-1.931,2.721,,966.02,67.2373,0.0,-0.0005016052857586678,,,0.00015873015873015873,0.00021917911031304126,,0.0,
2020-10-21,67.2511,0.0002052432206527,0.0002052221611444,0.0091095972630692,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.912,158.4,1.278772378516635,-1.912,2.721,,967.26,67.2511,0.0,-0.0005016052857586678,,,0.00015873015873015873,4.6513061922541266e-05,,0.0,
2020-10-22,67.235,-0.0002394012886033,-0.0002394299496662,0.0088680151251423,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.915,158.4,1.278772378516635,-1.915,2.721,,967.4,67.2511,-0.0002394012886033753,-0.0005016052857586678,,,0.00015873015873015873,-0.0003981314473334587,,-0.0002394012886033,
2020-10-23,67.2878,0.0007853052725514,0.0007849970817046,0.0096602844967288,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.844,158.4,1.278772378516635,-1.844,2.721,,971.23,67.2878,0.0,-0.0005016052857586678,,,0.00015873015873015873,0.0006265751138212413,,0.0,
2020-10-26,67.3529,0.0009674859335571,0.0009670182206874,0.0106371166196506,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.834,158.4,1.278772378516635,-1.834,2.721,,972.99,67.3529,0.0,-0.0005016052857586678,,,0.00015873015873015873,0.0008087557748269413,,0.0,
2020-10-27,67.3202,-0.0004855024802199,-0.0004856203747093,0.0101464497929295,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.846,158.4,1.278772378516635,-1.846,2.721,,972.02,67.3529,-0.00048550248021993854,-0.0005016052857586678,,,0.00015873015873015873,-0.0006442326389500587,,-0.0004855024802199,
2020-10-28,67.3249,6.981559769569934e-05,6.981316070028473e-05,0.0102169737710819,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.859,158.4,1.278772378516635,-1.859,2.721,,971.49,67.3529,-0.0004157207781699941,-0.0005016052857586678,,,0.00015873015873015873,-8.891456103445939e-05,,0.0,
2020-10-29,67.2977,-0.0004040109974169,-0.0004040926318481,0.0098088350039013,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.881,158.4,1.278772378516635,-1.881,2.721,,969.87,67.3529,-0.0008195638198206646,-0.0008195638198206646,,,0.00015873015873015873,-0.0005627411561470587,,-0.0004040109974169,
2020-11-02,67.3216,0.0003551384371234,0.0003550753903951,0.010167456935358,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.89,158.9,0.3156565656565746,-1.89,3.684,,969.14,67.3529,-0.0004647164413113861,-0.0008195638198206646,,,0.00015873015873015873,0.00019640827839324126,,0.0,
2020-11-03,67.2914,-0.0004485930221505,-0.0004486936701013,0.0097143028629733,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.898,158.9,0.3156565656565746,-1.898,3.684,,968.54,67.3529,-0.0009131009949090453,-0.0009131009949090453,,,0.00015873015873015873,-0.0006073231808806586,,-0.0004485930221505,
2020-11-04,67.3005,0.0001352327340493,0.0001352235909274,0.0098508492887581,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.886,158.9,0.3156565656565746,-1.886,3.684,,969.57,67.3529,-0.0007779917420037707,-0.0009131009949090453,,,0.00015873015873015873,-2.349742468085874e-05,,0.0,
2020-11-05,67.3902,0.0013328281364921,0.001331940709509,0.0111968069143506,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.86,158.9,0.3156565656565746,-1.86,3.684,,971.23,67.3902,0.0,-0.0009131009949090453,,,0.00015873015873015873,0.0011740979777619413,,0.0,
2020-11-06,67.4463,0.0008324652545919,0.0008321189475709,0.0120385931216611,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.871,158.9,0.3156565656565746,-1.871,3.684,,971.45,67.4463,0.0,-0.0009131009949090453,,,0.00015873015873015873,0.0006737350958617412,,0.0,
2020-11-09,67.4572,0.0001616100512555,0.000161596993758,0.0122021487305683,,,14023.02,0.0,0.0,1.16,0.0,,4.0,,4.25,3.0,5.876,158.9,0.3156565656565746,-1.876,3.684,,969.83,67.4572,0.0,-0.0009131009949090453,,,0.00015873015873015873,2.8798925253412696e-06,,0.0,
