Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,TER,ter_change,ter_rolling_mean_30d,Average AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-10-01,29.7434,,,0.0,,,0.45,,,75176.33,,0.0,4.0,,4.25,3.0,5.996,158.4,1.278772378516635,-1.996,2.721,,962.09,29.7434,0.0,0.0,,,0.00015873015873015873,,,,
2020-10-05,29.7622,0.000632073,0.000631873,0.000632073,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,6.004,158.4,1.278772378516635,-2.004,2.721,,961.19,29.7622,0.0,0.0,,,0.00015873015873015873,0.0004733428412698413,,0.0,
2020-10-06,29.7335,-0.00096431,-0.000964776,-0.000332847,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,6.026,158.4,1.278772378516635,-2.026,2.721,,959.43,29.7622,-0.0009643104340405149,-0.0009643104340405149,,,0.00015873015873015873,-0.0011230401587301589,,-0.00096431,
2020-10-07,29.7677,0.001150218,0.001149557,0.000816988,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,6.014,158.4,1.278772378516635,-2.014,2.721,,960.11,29.7677,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.0009914878412698412,,0.0,
2020-10-08,29.784,0.000547573,0.000547424,0.001365009,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,6.015,158.4,1.278772378516635,-2.015,2.721,,959.7,29.784,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.00038884284126984125,,0.0,
2020-10-09,29.9851,0.006751947,0.006729255,0.008126173,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.937,158.4,1.278772378516635,-1.937,2.721,,965.35,29.9851,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.006593216841269842,,0.0,
2020-10-12,30.0579,0.002427873,0.00242493,0.010573774,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.899,158.4,1.278772378516635,-1.899,2.721,,968.45,30.0579,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.002269142841269841,,0.0,
2020-10-13,30.0833,0.000845036,0.000844679,0.011427745,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.904,158.4,1.278772378516635,-1.904,2.721,,968.32,30.0833,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.0006863058412698412,,0.0,
2020-10-14,30.103,0.000654848,0.000654634,0.012090077,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.9,158.4,1.278772378516635,-1.9,2.721,,968.33,30.103,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.0004961178412698412,,0.0,
2020-10-15,30.109,0.000199316,0.000199296,0.012291803,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.898,158.4,1.278772378516635,-1.898,2.721,,968.82,30.109,0.0,-0.0009643104340405149,,,0.00015873015873015873,4.058584126984127e-05,,0.0,
