Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-10-01,29.5804,,,0.0,,,133925.63,,0.0,0.25,,,4.0,,4.25,3.0,5.996,158.4,1.278772378516635,-1.996,2.721,,962.09,29.5804,0.0,0.0,,,0.00015873015873015873,,,,
2020-10-05,29.5768,-0.000121702208219,-0.0001217096145337,-0.000121702208219,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,6.004,158.4,1.278772378516635,-2.004,2.721,,961.19,29.5804,-0.00012170220821903246,-0.00012170220821903246,,,0.00015873015873015873,-0.0002804323669491587,,-0.000121702208219,
2020-10-06,29.4561,-0.0040809012469232,-0.0040892508480907,-0.0042021068004489,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,6.026,158.4,1.278772378516635,-2.026,2.721,,959.43,29.5804,-0.004202106800449001,-0.004202106800449001,,,0.00015873015873015873,-0.004239631405653359,,-0.0040809012469232,
2020-10-07,29.4841,0.0009505671151306,0.0009501156123102,-0.003255534069857,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,6.014,158.4,1.278772378516635,-2.014,2.721,,960.11,29.5804,-0.003255534069857047,-0.004202106800449001,,,0.00015873015873015873,0.0007918369564004412,,0.0,
2020-10-08,29.5205,0.0012345637140016,0.0012338022668586,-0.0020249895200876,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,6.015,158.4,1.278772378516635,-2.015,2.721,,959.7,29.5804,-0.0020249895200877104,-0.004202106800449001,,,0.00015873015873015873,0.0010758335552714412,,0.0,
2020-10-09,29.8303,0.0104944021950847,0.010439718207486,0.0084481616205325,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.937,158.4,1.278772378516635,-1.937,2.721,,965.35,29.8303,0.0,-0.004202106800449001,,,0.00015873015873015873,0.010335672036354542,,0.0,
2020-10-12,29.9035,0.002453880785644,0.0024508749365149,0.0109227731876513,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.899,158.4,1.278772378516635,-1.899,2.721,,968.45,29.9035,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0022951506269138413,,0.0,
2020-10-13,29.942,0.0012874747103182,0.001286646625436,0.012224310692215,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.904,158.4,1.278772378516635,-1.904,2.721,,968.32,29.942,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0011287445515880412,,0.0,
2020-10-14,29.9834,0.001382673168125,0.001381718155792,0.013623886086733,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.9,158.4,1.278772378516635,-1.9,2.721,,968.33,29.9834,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0012239430093948414,,0.0,
2020-10-15,29.9788,-0.000153418224751,-0.0001534299945306,0.0134683777095643,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.898,158.4,1.278772378516635,-1.898,2.721,,968.82,29.9834,-0.00015341822475102682,-0.004202106800449001,,,0.00015873015873015873,-0.00031214838348115877,,-0.000153418224751,
2020-10-16,30.05,0.002375011674917,0.0023721957923104,0.0158753769387838,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.935,158.4,1.278772378516635,-1.935,2.721,,966.55,30.05,0.0,-0.004202106800449001,,,0.00015873015873015873,0.002216281516186841,,0.0,
2020-10-19,30.0732,0.0007720465890181,0.0007717487143559,0.0166596800584171,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.94,158.4,1.278772378516635,-1.94,2.721,,965.97,30.0732,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0006133164302879413,,0.0,
2020-10-20,30.0956,0.0007448492345343,0.0007445719720138,0.0174169382428905,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.931,158.4,1.278772378516635,-1.931,2.721,,966.02,30.0956,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0005861190758041412,,0.0,
