Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-10-01,28.5368,,,0.0,,,61581.1,,0.0,0.88,0.3968253968253967,0.7473333333333334,4.0,,4.25,3.0,5.996,158.4,1.278772378516635,-1.996,2.721,,962.09,28.5368,0.0,0.0,,,0.00015873015873015873,,,,
2020-10-05,28.5569,0.0007043536766559,0.0007041057360235,0.0007043536766559,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.747,4.0,,4.25,3.0,6.004,158.4,1.278772378516635,-2.004,2.721,,961.19,28.5569,0.0,0.0,,,0.00015873015873015873,0.0005456235179257413,,0.0,
2020-10-06,28.5227,-0.0011976089841684,-0.0011983266908864,-0.0004940988478034,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7469999999999999,4.0,,4.25,3.0,6.026,158.4,1.278772378516635,-2.026,2.721,,959.43,28.5569,-0.0011976089841683956,-0.0011976089841683956,,,0.00015873015873015873,-0.0013563391428985587,,-0.0011976089841684,
2020-10-07,28.5441,0.000750279601861,0.0007499982828237,0.0002558100417706,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7466666666666666,4.0,,4.25,3.0,6.014,158.4,1.278772378516635,-2.014,2.721,,960.11,28.5569,-0.0004482279238992534,-0.0011976089841683956,,,0.00015873015873015873,0.0005915494431308413,,0.0,
2020-10-08,28.5521,0.0002802680764151,0.0002802288086546,0.000536149813574,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7466666666666666,4.0,,4.25,3.0,6.015,158.4,1.278772378516635,-2.015,2.721,,959.7,28.5569,-0.00016808547146222004,-0.0011976089841683956,,,0.00015873015873015873,0.00012153791768494129,,0.0,
2020-10-09,28.7949,0.0085037527887614,0.0084677995641166,0.009044461887808,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7466666666666666,4.0,,4.25,3.0,5.937,158.4,1.278772378516635,-1.937,2.721,,965.35,28.7949,0.0,-0.0011976089841683956,,,0.00015873015873015873,0.008345022630031241,,0.0,
2020-10-12,28.9095,0.0039798714355667,0.0039719726976167,0.0130603291188922,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7466666666666666,4.0,,4.25,3.0,5.899,158.4,1.278772378516635,-1.899,2.721,,968.45,28.9095,0.0,-0.0011976089841683956,,,0.00015873015873015873,0.0038211412768365417,,0.0,
2020-10-13,28.912,8.647676369344381e-05,8.647302479366479e-05,0.0131479352975807,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.74,4.0,,4.25,3.0,5.904,158.4,1.278772378516635,-1.904,2.721,,968.32,28.912,0.0,-0.0011976089841683956,,,0.00015873015873015873,-7.225339503671492e-05,,0.0,
2020-10-14,28.906,-0.0002075262866629,-0.0002075478232224,0.012937680468728,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.74,4.0,,4.25,3.0,5.9,158.4,1.278772378516635,-1.9,2.721,,968.33,28.912,-0.00020752628666298518,-0.0011976089841683956,,,0.00015873015873015873,-0.0003662564453930587,,-0.0002075262866629,
2020-10-15,28.9236,0.0006088701307687,0.0006086848445569,0.0135544279666957,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7403333333333334,4.0,,4.25,3.0,5.898,158.4,1.278772378516635,-1.898,2.721,,968.82,28.9236,0.0,-0.0011976089841683956,,,0.00015873015873015873,0.00045013997203854125,,0.0,
2020-10-16,28.8443,-0.002741705735109,-0.0027454710941904,0.0107755599786942,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7403333333333334,4.0,,4.25,3.0,5.935,158.4,1.278772378516635,-1.935,2.721,,966.55,28.9236,-0.002741705735109043,-0.002741705735109043,,,0.00015873015873015873,-0.0029004358938391588,,-0.002741705735109,
